번호,호텔명,소재지전화,도로명우편번호,도로명전체주소,객실수,Lat,Lng
29,씨스카이호텔,033-820-0004,25414,강원도 강릉시 주문진읍 주문로 59,100,37.8893138,128.8254243
30,SL강릉호텔,033-820-0006,25414,강원도 강릉시 주문진읍 주문로 59,238,37.8893138,128.8254243
31,위너스호텔,033-661-8034,25418,강원도 강릉시 주문진읍 해안로 1725-3,83,37.8889361,128.8280236
32,이지호텔,033-661-8085,25418,강원도 강릉시 주문진읍 해안로 1735-1,53,37.8900412,128.8278222
33,비알호텔,033-647-0261,25544,강원도 강릉시 중앙시장3길 15-4 (성남동),23,37.751453,128.896573
34,호텔아비오 주식회사,033-640-6900,25556,강원도 강릉시 창해로 229 (송정동),48,37.786494,128.9287945
35,파라다이스호텔,033-653-0008,25467,강원도 강릉시 창해로 291 (강문동),53,37.7925668,128.9200036
36,세인트존스호텔,033-660-9000,25467,강원도 강릉시 창해로 307 (강문동),1071,37.7987171,128.9138562
37,에이치에비뉴 강릉경포,033-644-2701,25460,강원도 강릉시 창해로 423 (강문동),41,37.7897339,128.9200001
38,주식회사 큐브,033-644-1541,25460,강원도 강릉시 창해로 431 (강문동),39,37.7897339,128.9200001
39,호텔랑,033-644-0310,25460,강원도 강릉시 창해로 435 (강문동),28,37.7897339,128.9200001
40,호텔주노,033-644-8335,25460,강원도 강릉시 창해로 441 (강문동),37,37.7897339,128.9200001
41,경포마레,033-644-7422,25460,강원도 강릉시 창해로 443 (강문동),48,37.7897339,128.9200001
42,헤렌하우스호텔,033-651-4000,25556,강원도 강릉시 창해로14번길 16 (견소동 외1필지),26,37.7729203,128.9468401
43,브이브이호텔,033-647-2222,25512,강원도 강릉시 하슬라로192번길 22-1 (교동),43,37.7661519,128.8778198
44,호텔스완(Hotel Swan),033-642-9566,25460,강원도 강릉시 해안로 412 (강문동),48,37.7897339,128.9200001
45,스카이베이경포호텔,033-923-2000,25460,강원도 강릉시 해안로 476 스카이베이 경포호텔 (강문동),538,37.7897339,128.9200001
46,넘버25호텔 강릉경포점,033-644-0507,25460,강원도 강릉시 해안로 545 (안현동),30,37.8072421,128.9026879
47,더비즈니스,033-644-0851,25460,강원도 강릉시 해안로 549 1~2층 (안현동),5,37.8076155,128.9026356
48,경포비스타호텔,033-644-2447,25460,강원도 강릉시 해안로 557 (안현동),44,37.8081752,128.9024959
49,포시즌비치호텔,033-655-9900,25459,강원도 강릉시 해안로 615 (안현동),34,37.8120989,128.8982723
50,호텔여기어때 강릉경포점,033-644-2776,25460,강원도 강릉시 해안로406번길 13-9 (강문동),47,37.7995016,128.9127349
51,경포비치호텔,033-644-2277,25460,강원도 강릉시 해안로406번길 17 (강문동),68,37.7990427,128.9135797
52,씨마크호텔,033-650-7000,25460,강원도 강릉시 해안로406번길 2 (강문동),150,37.79885,128.913343
53,경포에메랄드호텔,033-644-4810,25460,강원도 강릉시 해안로406번길 26 (강문동),44,37.798635,128.9146875
54,엠지엠호텔,033-644-2559,25460,강원도 강릉시 해안로535번길 19 (안현동),58,37.8076592,128.9017526
55,소노캄 델피노C,033-639-8444,24768,강원도 고성군 토성면 미시령옛길 1153,84,38.2125189,128.4938589
56,레이크오션,033-635-3006,24766,강원도 고성군 토성면 잼버리동로 583-20,203,38.238865,128.567562
57,유브(UVE)모텔,033-532-2988,25770,강원도 동해시 동굴로 123-5 (천곡동),28,37.5186435,129.1171887
58,호텔 피카소,033-533-2500,25770,강원도 동해시 동굴로 123-6 (천곡동),54,37.5194692,129.1167723
59,엘리시안 호텔,033-533-7783,25770,강원도 동해시 동굴로 125-1 (천곡동),54,37.5188593,129.1177179
60,동해현진관광호텔,033-539-2010,25770,강원도 동해시 동굴로 125-3 (천곡동),82,37.5188593,129.1177179
61,호텔 본스테이,033-533-7800,25770,강원도 동해시 동굴로 125-4 (천곡동),49,37.5194554,129.1172755
62,호텔 코코,033-535-0056,25770,강원도 동해시 동굴로 129 (천곡동),55,37.5187477,129.1181778
63,아라비카 호스텔,033-535-0877,25777,강원도 동해시 동굴로 138 (천곡동),3,37.5186948,129.1191996
64,호텔이스트(Hotel East),033-521-3589,25802,강원도 동해시 동해대로 5031-1 (효가동),42,37.4978052,129.1156658
65,망상해오름가족호텔,033-532-7373,25700,강원도 동해시 동해대로 6188 (망상동),35,37.5919095,129.0779634
66,이스트호스텔,033-534-6654,25701,강원도 동해시 동해대로 6267 (망상동),18,37.5919095,129.0779634
67,델루와,033-534-3017,25700,강원도 동해시 동해대로 6270-11 (망상동 망상해변내),49,37.5992722,129.0749868
68,드루와,033-534-3131,25700,강원도 동해시 동해대로 6270-13 (망상동),36,37.5984526,129.0790959
69,(주)동해보양온천컨벤션호텔,033-530-0706,25701,강원도 동해시 동해대로 6281 (망상동),183,37.5919095,129.0779634
70,금빛바다,033-534-3442,25701,강원도 동해시 망상길 51-1 (망상동),15,37.5912246,129.0881135
71,호텔 여기어때 묵호점,033-535-5100,25725,강원도 동해시 발한로 164 1 5~6층 (발한동),28,37.5503865,129.1091146
72,호텔 카라멜(Hotel Caramel),033-533-1882,25720,강원도 동해시 발한로 219-11 (발한동),18,37.5496074,129.1075391
73,동해비치호텔,033-533-6035,25709,강원도 동해시 일출로 172 (묵호진동),33,37.5581282,129.1215967
74,꿈의궁전호텔,033-531-7400,25709,강원도 동해시 일출로 174 (묵호진동),29,37.5582915,129.1214837
75,션샤인호텔,033-533-2047,25719,강원도 동해시 일출로 20-1 1~6층 (발한동),33,37.5506797,129.1103208
76,리사모텔,033-532-1666,25769,강원도 동해시 천곡로 86-1 (천곡동),50,37.5231689,129.1148601
77,뉴동해관광호텔,033-533-9215,25750,강원도 동해시 평릉길 1 (천곡동),63,37.5264532,129.1030537
78,동해글로리아관광호텔,033-532-5454,25770,강원도 동해시 한섬로 112-4 (천곡동),71,37.5200942,129.1163291
79,코스모스호텔,033-535-6884,25770,강원도 동해시 한섬로 114-4 (천곡동),33,37.5204336,129.1171215
80,베리식스,033-535-6009,25770,강원도 동해시 한섬로 126-1 (천곡동),41,37.5213836,129.1179445
81,아이체크현진호텔,033-533-6464,25769,강원도 동해시 한섬로 133-9 (천곡동),59,37.5228565,129.1175038
82,펠리스호텔,033-575-7000,25925,강원도 삼척시 새천년도로 219 (정하동),100,37.4490424,129.1885206
83,쏠비치 호텔 삼척,033-803-7951,25909,강원도 삼척시 수로부인길 453 (갈천동),217,37.4718983,129.1592477
84,빅원모텔,033-572-2229,25920,강원도 삼척시 중앙시장길 8-7 (남양동),27,37.4404516,129.167209
85,해화담모텔B,033-576-0162,25909,강원도 삼척시 테마타운길 39 (갈천동),20,37.4671526,129.1694407
86,(주)척산온천휴양촌,033-636-4000,24867,강원도 속초시 관광로 327 (노학동),37,38.1901179,128.5405451
87,설악힐호텔,033-636-3660,24867,강원도 속초시 관광로 403 (노학동),32,38.1959761,128.536983
88,속초라마다해양호텔,033-630-6812,24901,강원도 속초시 대포항희망길 106 1층 및 5층~20층 (대포동),556,38.173686,128.607071
89,베니키아호텔산과바다대포항,033-635-6644,24902,강원도 속초시 동해대로 3691 (대포동1520),63,38.165663,128.6079706
90,더클래스300멤버쉽,033-630-0900,24894,강원도 속초시 동해대로 3915 (조양동),306,38.1844666,128.6003625
91,설악산관광호텔,033-638-7104,24903,강원도 속초시 설악산로 1042 (설악동),43,38.1743178,128.4884775
92,더케이설악산가족호텔,033-639-8100,24904,강원도 속초시 설악산로 470-7 (도문동외16필지),74,38.1692095,128.5619624
93,주식회사이랜드파크켄싱턴호텔설악,033-635-4001,24903,강원도 속초시 설악산로 998 (설악동),109,38.1727544,128.4992524
94,호텔아마란스,033-636-5252,24864,강원도 속초시 온천로 55 (노학동),45,38.1899451,128.5486797
95,속초관광비즈니스호텔카멜,033-633-7755,24854,강원도 속초시 청초호반로 202 카멜호텔 (교동),40,38.1954731,128.5854311
96,이스턴 관광호텔,033-638-8640,24837,강원도 속초시 청초호반로 319 (중앙동),40,38.2054702,128.5912104
97,속초굿모닝호텔앤리조트,033-637-9900,24886,강원도 속초시 해오름로 204 (조양동외1필지),88,38.1905442,128.6002355
98,세종호텔,033-482-2853,24533,강원도 양구군 양구읍 중앙길 43-35,30,38.1055673,127.9898403
99,양구KCP호텔,033-482-7700,24519,강원도 양구군 양구읍 파로호로 993-19,48,38.1138886,127.9806966
100,낙산비치호텔,033-673-0601,25008,강원도 양양군 강현면 낙산사로 73,126,38.1234651,128.6306945
101,베니키아호텔 산과바다 양양,033-673-3313,25003,강원도 양양군 강현면 동해대로 3393,34,38.1403589,128.6135775
102,더 낙산호텔(The Naksan Hotel),033-673-0051,25009,강원도 양양군 강현면 해맞이길 18,58,38.11974,128.6311267
103,오색그린야드호텔,033-670-1000,25033,강원도 양양군 서면 대청봉길 34,80,38.0810224,128.4477418
104,양양국제공항호텔,033-920-3000,25042,강원도 양양군 손양면 동해대로 2338,74,38.0579331,128.6441898
105,(주)소노인터내셔널 쏠비치호텔,033-670-3612,25042,강원도 양양군 손양면 선사유적로 678,224,38.0879183,128.6657476
106,디그니티호텔,033-671-4456,25015,강원도 양양군 양양읍 일출로 159-5,72,38.1084892,128.6405057
107,디그니티호텔 별관,033-672-5114,25015,강원도 양양군 양양읍 일출로 159-6 5관,30,38.108148,128.6407764
108,스위트호텔낙산,033-670-1100,25015,강원도 양양군 양양읍 해맞이길 84,31,38.1148335,128.6347554
109,(주)더앤리조트 양양지점(The N Resort),033-850-7777,25056,강원도 양양군 현남면 개매길 260,320,37.9423391,128.7694729
110,브리드 바이 마티에,033-942-5500,25053,강원도 양양군 현남면 인구항길 17 3-7층,35,37.9707975,128.7619086
111,시티호텔,033-747-1000,26462,강원도 원주시 건강로 4 45678층 (반곡동),49,37.326893,128.0139391
112,(주)호텔인터불고원주,033-769-8114,26460,강원도 원주시 동부순환로 200 (반곡동),152,37.332851,127.9744095
113,호텔비즈인,033-748-0100,26383,강원도 원주시 만대로 7-1 (무실동),65,37.3411311,127.923792
114,밸리텔B동,033-733-0243,26496,강원도 원주시 문막읍 궁말길 193,8,37.2822827,127.8435561
115,센추리개발벨리텔,033-733-1000,26496,강원도 원주시 문막읍 궁말길 193 1234층,6,37.2822827,127.8435561
116,베니키아문막호텔,033-734-7315,26368,강원도 원주시 문막읍 왕건로 9 (4층~9층),66,37.3206545,127.8309345
117,(주)오키드호텔,033-901-3000,26436,강원도 원주시 봉화로 26 (단계동),85,37.346687,127.9289682
118,에스호텔,033-744-4939,26436,강원도 원주시 북원로 2235-6 남원주타워 7층 701호 (단계동),11,37.3457315,127.9315786
119,(사)대한산업보건협회 치악산호텔,033-731-7931,26304,강원도 원주시 소초면 치악로 3371-3,56,37.4399868,128.0499726
120,원주센트럴호텔,033-812-3000,26383,강원도 원주시 시청로 29-3 2~6층 (무실동),50,37.340506,127.9240884
121,원주호텔이쁘다,033-732-1998,26436,강원도 원주시 장미공원길 25-4 (단계동),32,37.3466349,127.9322889
122,코코호텔(COCOHOTEL),033-734-8800,26436,강원도 원주시 장미공원길 9 (단계동),57,37.3462693,127.9328287
123,호텔라움,033-742-5454,26437,강원도 원주시 천사로 14-1 (단계동),53,37.3473929,127.9266616
124,브라운도트호텔단구점,033-766-3041,26451,강원도 원주시 치악로1614번길 3 (단구동),30,37.3272929,127.9609811
125,스카이락호텔,033-462-5551,24635,강원도 인제군 인제읍 비봉로 39,30,38.0662971,128.1746373
126,하늘내린호텔,033-463-5700,24635,강원도 인제군 인제읍 비봉로 43,58,38.0658706,128.1748779
127,인제호텔,033-461-4035,24631,강원도 인제군 인제읍 인제로187번길 4 인제호텔 2~7층,33,38.0689725,128.1713408
128,그랜드파크모텔,033-591-7077,26155,강원도 정선군 고한읍 고토일길 111,32,37.2198452,128.8465747
129,휴호텔,033-592-8700,26155,강원도 정선군 고한읍 고토일길 23,40,37.2200444,128.8371853
130,하이원  팰리스호텔,033-591-7700,26154,강원도 정선군 고한읍 고한7길 399,199,37.1737167,128.8428065
131,루비모텔,033-592-2728,26155,강원도 정선군 고한읍 고한로 175,40,37.1997743,128.8548294
132,하이랜드호텔,033-591-3500,26155,강원도 정선군 고한읍 고한로 26,70,37.2086447,128.8426383
133,하이밸리호텔,033-592-2003,26155,강원도 정선군 고한읍 고한로 28-1,80,37.2083146,128.8426808
134,밀라노모텔,033-592-9991,26155,강원도 정선군 고한읍 지장천로 855 2층,25,37.2204331,128.8343355
135,에이스가족호텔,033-591-9800,26155,강원도 정선군 고한읍 하이원길 519,83,37.2078044,128.842825
136,골든메이플관광호텔,033-592-7744,26146,강원도 정선군 남면 무릉1로 85,54,37.2461893,128.7773732
137,퍼시먼관광호텔,033-592-7744,26146,강원도 정선군 남면 무릉4로 2,50,37.245599,128.7767078
138,리버사이드모텔,033-592-3326,26146,강원도 정선군 남면 무릉4로 20,48,37.2446264,128.7756529
139,엘스관광호텔,033-591-7300,26152,강원도 정선군 사북읍 사북1길 21,46,37.2275475,128.8118763
140,히든호텔,033-592-9898,26152,강원도 정선군 사북읍 사북1길 23,36,37.2275974,128.8120842
141,스타호텔,033-592-2500,26152,강원도 정선군 사북읍 사북1길 27,80,37.2274582,128.8126675
142,호텔 인,033-591-8111,26152,강원도 정선군 사북읍 사북1길 38-1,59,37.2271102,128.8138718
143,호텔 하이빌,033-592-8833,26152,강원도 정선군 사북읍 사북1길 38-3,45,37.2270224,128.8139317
144,모텔 하이얀,033-592-8383,26152,강원도 정선군 사북읍 사북1길 38-5,30,37.2269203,128.8139712
145,스카이모텔,033-592-1900,26152,강원도 정선군 사북읍 사북1길 39,62,37.2275837,128.8138217
146,스마트호텔,033-592-1600,26152,강원도 정선군 사북읍 사북1길 42-4,57,37.2272658,128.8143096
147,랜드호텔,033-591-1900,26152,강원도 정선군 사북읍 사북1길 48-8,89,37.2271067,128.8145253
148,월드컵모텔,033-591-6722,26152,강원도 정선군 사북읍 사북1길 51-2,34,37.2277344,128.8152206
149,호텔 세븐,033-592-8877,26153,강원도 정선군 사북읍 사북2길 12,29,37.2276941,128.8172286
150,윈모텔,033-591-5523,26153,강원도 정선군 사북읍 사북2길 20,32,37.2280477,128.8174845
151,엘까사모텔,033-591-5799,26153,강원도 정선군 사북읍 사북2길 24,42,37.228047,128.8177234
152,J 호텔,033-591-0707,26153,강원도 정선군 사북읍 사북2길 32,95,37.2276161,128.8182754
153,시즌호텔,033-591-9080,26153,강원도 정선군 사북읍 사북중앙로 14,32,37.2269002,128.8162427
154,해브굿,033-592-9331,26153,강원도 정선군 사북읍 사북중앙로 28-7,44,37.2266479,128.8180757
155,은하모텔,033-592-2137,26153,강원도 정선군 사북읍 사북중앙로 5,45,37.2268094,128.8152895
156,스위스모텔,033-592-1592,26153,강원도 정선군 사북읍 사북중앙로 6,48,37.2265752,128.8155372
157,베르사유 모텔,033-592-6661,26150,강원도 정선군 사북읍 소금강로 3520,40,37.2282937,128.839776
158,정선인투라온호텔,033-590-4001,26152,강원도 정선군 사북읍 지장천로 583 정선인투라온호텔,200,37.226685,128.81241
159,휘닉스호텔,033-592-7111,26153,강원도 정선군 사북읍 지장천로 639,34,37.2266985,128.8177866
160,하이원 그랜드호텔,033-590-7700,26154,강원도 정선군 사북읍 하이원길 265,727,37.2121937,128.8207554
161,호텔 신 아라리,033-563-3001,26106,강원도 정선군 여량면 여량4길 3,34,37.4700733,128.7214492
162,노블레스,033-563-2290,26110,강원도 정선군 임계면 서동로 4555,37,37.4951377,128.8504346
163,동호모텔,033-562-9000,26130,강원도 정선군 정선읍 정선로 1360,32,37.3796423,128.664953
164,박스도로시모텔,033-452-5116,24045,강원도 철원군 갈말읍 명성로 113,32,38.1419383,127.3064202
165,한탄리버게르마늄온천호텔,033-455-1234,24023,강원도 철원군 동송읍 태봉로 1799-22 123층,68,38.1861658,127.2898454
166,썬레저텔,033-456-2120,24023,강원도 철원군 동송읍 태봉로 1831-1,43,38.1879027,127.2874382
167,대명관광호텔,033-458-8167,24059,강원도 철원군 서면 와수로181번길 15,46,38.239704,127.4380964
168,호텔N,033-243-5353,24239,강원도 춘천시 구마니길 26 (삼천동),26,37.8696613,127.7004295
169,호텔정관루본관,031-580-8119,24464,강원도 춘천시 남산면 남이섬길 1,46,37.7899352,127.5258072
170,1962비즈니스호텔,033-241-1962,24372,강원도 춘천시 남춘로 51 (효자동),30,37.8655899,127.732332
171,브라운도트호텔남춘천점,033-255-8228,24370,강원도 춘천시 남춘로25번길 5 (퇴계동),21,37.863576,127.730314
172,봄스테이,033-264-1477,24376,강원도 춘천시 남춘로36번길 4 (효자동),30,37.864002,127.7318445
173,에스파스 호스텔,033-256-2230,24366,강원도 춘천시 닥나무길 12 (효자동),20,37.8697321,127.7257746
174,춘천세종호텔,033-252-1191,24265,강원도 춘천시 봉의산길 31 (봉의동),68,37.8863488,127.7312439
175,플레인호텔(THE PLAIN),033-255-0339,24239,강원도 춘천시 스포츠타운길 234 (삼천동),22,37.8637064,127.6923808
176,춘천베어스관광호텔,033-245-4300,24239,강원도 춘천시 스포츠타운길 376 (삼천동),78,37.8708742,127.699039
177,케이티엔지상상마당춘천스테이,033-818-4200,24239,강원도 춘천시 스포츠타운길399번길 22 (삼천동),58,37.8727389,127.7024335
178,뷰호텔,033-242-0023,24348,강원도 춘천시 시청길 36 (조양동),34,37.8811942,127.7313331
179,명동호텔,033-241-1188,24352,강원도 춘천시 아침길 12 (조양동),33,37.8790009,127.7304669
180,호텔라로체루즈,033-243-5900,24368,강원도 춘천시 우묵길 53 (퇴계동),42,37.8660456,127.7221376
181,소나무파인트리(PINE TREE),033-242-8308,24368,강원도 춘천시 우묵길 55 (퇴계동),30,37.8660456,127.7221376
182,더잭슨나인스호텔주식회사,033-253-0000,24360,강원도 춘천시 중앙로 193 지하1~지상15층 (근화동),391,37.4404489,129.1674847
183,춘천센트럴호텔,033-257-1900,24273,강원도 춘천시 중앙로68번길 12 (낙원동),51,37.8801319,127.7258793
184,호텔명작,033-241-5689,24329,강원도 춘천시 춘천로176번길 13 (효자동),36,37.8758083,127.7339012
185,S-쁘띠호텔,033-243-4422,24366,강원도 춘천시 춘천로56번길 5 (효자동),29,37.8694309,127.7245107
186,호텔인트로,033-253-1117,24370,강원도 춘천시 퇴계로77번길 22 (퇴계동),20,37.864451,127.7307484
187,레고랜드 호텔,033-815-2300,24240,강원도 춘천시 하중도길 128 (중도동),154,37.8820784,127.6966016
188,태백관광호텔(SORANOHOTEL),033-553-8080,26003,강원도 태백시 기장밭길 7-1 (화전동),64,37.1990362,128.9619025
189,카스텔로리젠시태백관광호텔,033-553-2211,26008,강원도 태백시 연지로 6 (황지동),72,37.1743616,128.9883778
190,설화국가족호텔(주),033-553-0055,26003,강원도 태백시 태백로 266-11 (화전동),24,37.1910003,128.9449822
191,강원라마다호텔앤리조트1,033-554-1301,26043,강원도 태백시 태백산로 4839 라마다호텔 (소도동),64,37.13187,128.96912
192,인터컨티넨탈알펜시아평창리조트,033-339-0000,25351,강원도 평창군 대관령면 솔봉로 325,238,37.6616099,128.6763358
193,홀리데이인리조트(Holiday Inn Resort),033-339-0000,25351,강원도 평창군 대관령면 솔봉로 325 (홀리데이인리조트호텔 외 15필지),214,37.6616099,128.6763358
194,더마루,033-335-8831,25343,강원도 평창군 대관령면 송천3길 10,29,37.6713814,128.7111581
195,고려궁,033-336-1111,25352,강원도 평창군 대관령면 올림픽로 1169,16,37.6416866,128.6713269
196,드래곤밸리호텔,033-335-5757,25352,강원도 평창군 대관령면 올림픽로 715,195,37.6450087,128.6829718
197,오리엔트호텔,033-332-9797,25306,강원도 평창군 봉평면 태기로 80-56,167,37.5867683,128.3184875
198,서림관광개발(유),033-333-6657,25332,강원도 평창군 진부면 청송로 109,34,37.6366719,128.5587081
199,소노문비발디파크,033-439-7847,25102,강원도 홍천군 서면 한치골길 262 대명비발디파크,79,37.648144,127.68412
200,홍천관광호텔,033-433-1221,25133,강원도 홍천군 홍천읍 꽃뫼로 147,54,37.691961,127.8901057
201,호텔휘닉스,033-343-1555,25250,강원도 횡성군 우천면 서동로 116,42,37.4436194,128.0674177
202,캘리포니아 모텔,033-344-0546,25234,강원도 횡성군 횡성읍 중앙로 21,31,37.4890568,127.9831202
203,호텔타임,033-343-6511,25234,강원도 횡성군 횡성읍 횡성로 385-1,44,37.4875855,127.9844209
204,아지오(AGIO),031-581-0058,12422,경기도 가평군 가평읍 북한강변로 1027-11,31,37.8040928,127.5243982
205,클럽인너 호텔앤리조트,031-581-2270,12428,경기도 가평군 가평읍 북한강변로 382 ABC동,84,37.7627474,127.5417467
206,W지우리조트,031-581-8289,12422,경기도 가평군 가평읍 북한강변로 970-42 (외 18개동),98,37.7700212,127.5272174
207,나우호텔,031-581-6969,12416,경기도 가평군 가평읍 석봉로3번길 14,39,37.8184771,127.5071527
208,양지카운티,031-582-4770,12406,경기도 가평군 북면 백둔로560번길 26-4,3,37.9081393,127.4503708
209,오버더마운틴,02-452-8449,12448,경기도 가평군 상면 수목원로386번길 75 Over the mountain,28,37.7450141,127.3478834
210,켄싱턴리조트 가평,031-584-9380,12446,경기도 가평군 상면 청군로 430,176,37.7958862,127.3521492
211,파로티아워터하우스호텔,031-584-6800,12462,경기도 가평군 설악면 미사리로 707-96 1~3층,65,37.7165013,127.5398097
212,아난티펜트하우스,031-580-4000,12472,경기도 가평군 설악면 유명로 1007-90,76,37.6267568,127.4848842
213,뉴월드호텔,031-584-8533,12466,경기도 가평군 설악면 유명로 1734,30,37.6763338,127.4785934
214,까사32,031-585-4432,12459,경기도 가평군 설악면 유명로 2384 AB동 1~4층,31,37.7114161,127.4450684
215,호텔스위티안,031-581-5300,12460,경기도 가평군 설악면 자잠로 229 지하3층-지상4층,27,37.6933862,127.4905317
216,AUGUST(어거스트),02-482-2929,12460,경기도 가평군 설악면 자잠로282번길 96,26,37.6986831,127.4986221
217,운악산골프빌리지,031-585-7900,12432,경기도 가평군 조종면 운악청계로 809 썬힐골프클럽,53,37.8771921,127.3515465
218,브라운모텔,031-581-9393,12449,경기도 가평군 청평면 경춘로 1496-7 2~5층,22,37.7384756,127.4237032
219,레이크호텔,031-585-3511,12457,경기도 가평군 청평면 경춘로 560,48,37.7384756,127.4237032
220,청평스포랜드리조트,031-584-3121,12456,경기도 가평군 청평면 고재길 325 2층~5층,33,37.7076819,127.5139867
221,마이다스호텔앤리조트,031-584-4520,12458,경기도 가평군 청평면 북한강로 2245,70,37.7137994,127.4033726
222,트라움,031-585-2216,12457,경기도 가평군 청평면 은행나무길 19 2층~4층,33,37.6799432,127.3752627
223,(주)호명청평산장호텔,031-584-0351,12450,경기도 가평군 청평면 청군로 70,34,37.7496685,127.4215769
224,스테이월호텔,031-962-6363,10460,경기도 고양시 덕양구 고양대로 1323 (주교동),48,37.6468243,126.8214091
225,호텔사이버,031-974-0008,10523,경기도 고양시 덕양구 무원로6번길 35 (행신동),38,37.6139814,126.8330979
226,카르마호텔,031-962-7070,10477,경기도 고양시 덕양구 은빛로 55 (화정동),43,37.6379281,126.8340503
227,넘버25 행신점,031-972-9900,10495,경기도 고양시 덕양구 중앙로558번길 7-8 (행신동),39,37.6243496,126.8354881
228,고양호텔 유지,031-938-5350,10523,경기도 고양시 덕양구 충장로 23 (행신동),42,37.6205923,126.8491693
229,호텔린,031-964-0988,10271,경기도 고양시 덕양구 혜음로 208 1~4층 (벽제동),33,37.7187181,126.8997889
230,페이지호텔,031-978-2626,10503,경기도 고양시 덕양구 화신로 271 (화정동),49,37.6306161,126.8311102
231,화정호텔,031-972-2780,10500,경기도 고양시 덕양구 화신로260번길 20 (화정동),50,37.6315198,126.8329291
232,마두 라트리(La TREE),031-908-5051,10414,경기도 고양시 일산동구 강석로 147 1~9층호 (마두동),49,37.653629,126.7777834
233,발렌타인호텔,031-905-7002,10447,경기도 고양시 일산동구 강석로 15 (백석동),46,37.6446518,126.7871666
234,boutique hotel k(부띠끄 호텔 케이),031-914-8349,10364,경기도 고양시 일산동구 무궁화로 31-9 (장항동),40,37.6628931,126.7672191
235,클레오파트라호텔,031-908-0062,10449,경기도 고양시 일산동구 장백로 34 (백석동),58,37.6415418,126.7885972
236,로젠하임,031-906-6136,10449,경기도 고양시 일산동구 장백로 36 1~8층호 (백석동),54,37.6416528,126.7884459
237,필그린호텔,031-907-5277,10449,경기도 고양시 일산동구 장백로 38 (백석동),50,37.6417492,126.7882687
238,비에스(BS),031-907-2114,10447,경기도 고양시 일산동구 장백로 66 (백석동),42,37.6434877,126.7859436
